run,run_short,raw_step,effective_step,metric,value
Pure Stage1 beta=0.1,stage1,59,59,response length mean,390.68359375
Pure Stage1 beta=0.1,stage1,59,59,response clip ratio,0.015625
Pure Stage1 beta=0.1,stage1,59,59,rollout correct ratio,0.580078125
Pure Stage1 beta=0.1,stage1,59,59,actor grad norm,33.948646545410156
Pure Stage1 beta=0.1,stage1,60,60,response length mean,331.892578125
Pure Stage1 beta=0.1,stage1,60,60,response clip ratio,0.005859375
Pure Stage1 beta=0.1,stage1,60,60,rollout correct ratio,0.482421875
Pure Stage1 beta=0.1,stage1,60,60,actor grad norm,33.869346618652344
Pure Stage1 beta=0.1,stage1,61,61,response length mean,283.5625
Pure Stage1 beta=0.1,stage1,61,61,response clip ratio,0.0
Pure Stage1 beta=0.1,stage1,61,61,rollout correct ratio,0.66015625
Pure Stage1 beta=0.1,stage1,61,61,actor grad norm,28.471302032470703
Pure Stage1 beta=0.1,stage1,62,62,response length mean,422.390625
Pure Stage1 beta=0.1,stage1,62,62,response clip ratio,0.021484375
Pure Stage1 beta=0.1,stage1,62,62,rollout correct ratio,0.521484375
Pure Stage1 beta=0.1,stage1,62,62,actor grad norm,60.13466262817383
Pure Stage1 beta=0.1,stage1,63,63,response length mean,388.123046875
Pure Stage1 beta=0.1,stage1,63,63,response clip ratio,0.013671875
Pure Stage1 beta=0.1,stage1,63,63,rollout correct ratio,0.56640625
Pure Stage1 beta=0.1,stage1,63,63,actor grad norm,36.27961349487305
Pure Stage1 beta=0.1,stage1,64,64,response length mean,447.3515625
Pure Stage1 beta=0.1,stage1,64,64,response clip ratio,0.041015625
Pure Stage1 beta=0.1,stage1,64,64,rollout correct ratio,0.48828125
Pure Stage1 beta=0.1,stage1,64,64,actor grad norm,33.52742385864258
Pure Stage1 beta=0.1,stage1,65,65,response length mean,392.087890625
Pure Stage1 beta=0.1,stage1,65,65,response clip ratio,0.017578125
Pure Stage1 beta=0.1,stage1,65,65,rollout correct ratio,0.580078125
Pure Stage1 beta=0.1,stage1,65,65,actor grad norm,31.201854705810547
Pure Stage1 beta=0.1,stage1,66,66,response length mean,311.578125
Pure Stage1 beta=0.1,stage1,66,66,response clip ratio,0.0078125
Pure Stage1 beta=0.1,stage1,66,66,rollout correct ratio,0.615234375
Pure Stage1 beta=0.1,stage1,66,66,actor grad norm,27.937175750732422
Pure Stage1 beta=0.1,stage1,67,67,response length mean,322.40625
Pure Stage1 beta=0.1,stage1,67,67,response clip ratio,0.0078125
Pure Stage1 beta=0.1,stage1,67,67,rollout correct ratio,0.5859375
