run,run_short,lambda,raw_step,effective_step,metric,value
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,33,73,rollout correct ratio,0.51171875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,33,73,response length mean,615.296875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,34,74,rollout correct ratio,0.6328125
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,34,74,response length mean,557.44140625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,35,75,HumanEval+ extraction fail,0.042682926829268296
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,35,75,MBPP+ extraction fail,0.03968253968253968
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,35,75,LiveCodeBench extraction fail,0.3984375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,35,75,rollout correct ratio,0.5625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,35,75,response length mean,654.4765625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,36,76,rollout correct ratio,0.623046875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,36,76,response length mean,600.7890625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,37,77,rollout correct ratio,0.544921875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,37,77,response length mean,669.310546875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,38,78,rollout correct ratio,0.638671875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,38,78,response length mean,546.197265625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,39,79,rollout correct ratio,0.591796875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,39,79,response length mean,659.962890625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,40,80,HumanEval+ extraction fail,0.036585365853658534
